SMILES,Caption
CNC,"Methylamino, which act as anchoring groups."
CNC,"Anchoring group, consisting of methylamino."
CNC,"Methylamino group, functioning a anchor group."
CNC,Methylamino groups serve as anchoring groups.
CNC1=CC=C(NC)C=C1,"This molecule consists of a benzene ring as the backbone, with methylamino groups attached to two opposite carbon atoms of the ring, and these groups act as anchor groups."
CNC1=CC=C(NC)C=C1,"This molecule has a benzene ring as the core structure, featuring methylamino groups bonded to two distinct ring carbons, with both moieties serving as anchor groups."
CNC1=CC=C(NC)C=C1,"This molecule contains a benzene ring framework, with methylamino groups positioned on two separate carbon atoms of the ring, and both groups function as anchor groups."
CNC1=CC=C(C#CC2=CC=C(NC)C=C2)C=C1,"This molecule consists of a diethynylbenzene backbone with methylamino groups attached to each benzene ring, and these groups act as anchor groups for electrode connection."
CNC1=CC=C(C#CC2=CC=C(NC)C=C2)C=C1,"This molecule has a diethynylbenzene core structure, featuring methylamino moieties bonded to both benzene rings of the backbone, with these moieties serving as anchor groups to access electrodes."
CNC1=CC=C(C#CC2=CC=C(NC)C=C2)C=C1,"This molecule contains a diethynylbenzene framework, where methylamino groups are positioned on the two benzene rings linked by an ethynyl group, and both groups function as anchor groups for electrode attachment."
CNC1=CC2=C(C=C1)C=C(C=C2)NC,"This molecule consists of a naphthalene backbone with methylamino groups attached to each benzene ring, and these groups act as anchor groups."
CNC1=CC2=C(C=C1)C=C(C=C2)NC,"This molecule has a naphthalene as the core structure, featuring two methylamino groups bonded to each benzene ring, with both groups serving as anchor groups."
CNC1=CC2=C(C=C1)C=C(C=C2)NC,"This molecule contains a naphthalene framework with two benzene rings joined, and has methylamino groups on each benzene ring serving as anchor groups."
CNC1=CC=C(C2=CC=C(NC)C=C2)C=C1,"This molecule consists of a biphenyl backbone with methylamino groups attached to both benzene rings, and these groups act as anchor groups."
CNC1=CC=C(C2=CC=C(NC)C=C2)C=C1,"This molecule has a biphenyl core structure featuring methylamino moieties on each benzene ring, with both moieties serving as anchor groups to access electrodes."
CNC1=CC=C(C2=CC=C(NC)C=C2)C=C1,"This molecule contains a biphenyl framework with methylamino groups positioned on its two benzene rings, and both groups function as anchor groups for electrode attachment."
CNC1=NC(=CC=C1)NC,"This molecule consists of a pyridine ring as the core backbone, and methylamino groups act as anchor groups attached to the 2nd and 6th carbon atoms of the pyridine ring structure."
CNC1=NC(=CC=C1)NC,This molecule features a pyridine framework where two methylamino groups bonds to the 2nd and 6th carbon atoms.
CNC1=NC(=CC=C1)NC,"This molecule is structured with a pyridine ring as the central skeleton, where methylamino groups bond to the carbon atoms at the 2nd and 6th sites of the pyridine ring, and these methylamino groups function as anchor groups."
C(=O)O,Carboxyl anchor group.
C(=O)O,"Carboxyl, which act as anchoring groups."
C(=O)O,"Anchoring group, consisting of carboxyl."
C(=O)O,"Carboxyl group, functioning a anchor group."
C(=O)O,Carboxyl groups serve as anchoring groups.
C1=CC(=CC=C1C(=O)O)C(=O)O,"This molecule has a benzene core with carboxyl groups , where carboxyl groups act as anchor groups at the 1st and 4th carbons of the benzene ring."
C1=CC(=CC=C1C(=O)O)C(=O)O,"This molecule features a benzene framework with carboxyl groups, and carboxyl groups serve as anchor groups at the 1st and 4th positions of the benzene ring."
C1=CC(=CC=C1C(=O)O)C(=O)O,"This molecule uses a benzene skeleton with carboxyl groups connecting, and carboxyl groups function as anchor groups."
C1=C(C(=CC(=C1I)C(=O)O)I)C(=O)O,"This molecule has a benzene core with carboxyl groups and iodo groups attached, where iodo groups act as anchor groups at the 2nd and 5th carbons of the benzene ring."
C1=C(C(=CC(=C1I)C(=O)O)I)C(=O)O,"This molecule features a benzene framework with carboxyl groups and iodo groups bonding, and iodo groups serve as anchor groups at the 2nd and 5th positions of the benzene ring."
C1=C(C(=CC(=C1I)C(=O)O)I)C(=O)O,"This molecule uses a benzene skeleton with carboxyl groups and iodo groups connecting, and iodo groups function as anchor groups at the 2nd and 5th carbons of the benzene ring."
C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,"This molecule consists of a biphenyl backbone with carboxyl groups attached to both benzene rings, and these groups act as anchor groups."
C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,"This molecule has a biphenyl core structure featuring carboxyl moieties on each benzene ring, with both moieties serving as anchor groups to access electrodes."
C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,"This molecule contains a biphenyl framework with carboxyl groups positioned on its two benzene rings, and both groups function as anchor groups for electrode attachment."
C1=CC2=C(C=CC3=C2C=CC(=C3)C(=O)O)C=C1C(=O)O,"This molecule contains a phenanthrene core consisting of three benzene rings, with two carboxyl groups attached to the terminal benzene as anchor groups."
C1=CC2=C(C=CC3=C2C=CC(=C3)C(=O)O)C=C1C(=O)O,"This molecule has a phenanthrene backbone made up of two three benzene rings, where carboxyl groups are positioned on the terminal benzene rings."
C1=CC2=C(C=CC3=C2C=CC(=C3)C(=O)O)C=C1C(=O)O,"This molecule is composed of a phenanthrene structure with three benzene rings, and each of the terminal benzene ring contain a carboxyl group."
CSC1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)O,"This molecule consists of a biphenyl backbone with methylthio and carboxyl groups attached oppositely, both acting as anchor groups."
CSC1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)O,"This molecule has a biphenyl core structure featuring methylthio and carboxyl groups on opposing side, with both groups functioning as anchor groups."
CSC1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)O,"This molecule contains a biphenyl framework with methylthio and carboxyl groups positioned on different side, both serving as anchor groups."
CSC1=CC=C(C=C1)C(=O)O,"This molecule consists of a benzene backbone with methylthio and carboxyl groups attached oppositely, both acting as anchor groups."
CSC1=CC=C(C=C1)C(=O)O,"This molecule has a benzene core structure featuring methylthio and carboxyl groups on opposing side, with both groups functioning as anchor groups."
CSC1=CC=C(C=C1)C(=O)O,"This molecule contains a benzene framework with methylthio and carboxyl groups positioned on different side, both serving as anchor groups."
C1=CC(=CC=C1Br)Br,This molecule has a benzene core with bromine atoms as anchor groups attached to the 1st and 4th carbons of the benzene ring.
C1=CC(=CC=C1Br)Br,This molecule features a benzene framework where bromine atoms bond to the 1st and 4th positions of the benzene ring as anchor groups.
C1=CC(=CC=C1Br)Br,This molecule uses a benzene skeleton with bromine atoms connecting to the 1st and 4th carbons of the benzene ring as anchor groups.
BrC1=CC=C(C2=CC=C(Br)C=C2)C=C1,This molecule consists of a biphenyl backbone with bromine atoms attached to each benzene ring as anchor groups.
BrC1=CC=C(C2=CC=C(Br)C=C2)C=C1,"This molecule has a biphenyl core structure, featuring bromine atoms bonded to both benzene rings of the biphenyl as anchor groups."
BrC1=CC=C(C2=CC=C(Br)C=C2)C=C1,"This molecule contains a biphenyl framework, where bromine atoms are positioned on the two benzene rings of the biphenyl structure."
BrC1=CC2=C(C=C1)C=C(Br)C=C2,This molecule consists of a naphthalene backbone with bromine atoms attached to each benzene ring as anchor groups.
BrC1=CC2=C(C=C1)C=C(Br)C=C2,"This molecule has a naphthalene core structure, featuring bromine atoms bonded to both benzene rings as anchor groups."
BrC1=CC2=C(C=C1)C=C(Br)C=C2,"This molecule contains a naphthalene framework, where bromine atoms are positioned on the two benzene rings."
IC1=CC=C(I)C=C1,This molecule has a benzene core with iodine atoms as anchor groups attached to the 1st and 4th carbons of the benzene ring.
IC1=CC=C(I)C=C1,This molecule features a benzene framework where iodine atoms bond to the 1st and 4th positions of the benzene ring as anchor groups.
IC1=CC=C(I)C=C1,This molecule uses a benzene skeleton with iodine atoms connecting to the 1st and 4th carbons of the benzene ring as anchor groups.
IC1=CC=C(C2=CC=C(I)C=C2)C=C1,This molecule consists of a biphenyl backbone with iodine atoms attached to each benzene ring as anchor groups.
IC1=CC=C(C2=CC=C(I)C=C2)C=C1,"This molecule has a biphenyl core structure, featuring iodine atoms bonded to both benzene rings of the biphenyl as anchor groups."
IC1=CC=C(C2=CC=C(I)C=C2)C=C1,"This molecule contains a biphenyl framework, where iodine atoms are positioned on the two benzene rings of the biphenyl structure."
IC1=CC2=CC3=C(C=C(I)C=C3)C=C2C=C1,This molecule consists of an anthracene backbone with iodine atoms attached to terminal benzene rings as anchor groups.
IC1=CC2=CC3=C(C=C(I)C=C3)C=C2C=C1,"This molecule has an anthracene core structure, featuring iodine atoms bonded to both terminal benzene rings as anchor groups."
IC1=CC2=CC3=C(C=C(I)C=C3)C=C2C=C1,"This molecule contains an anthracene framework, where iodine atoms are linked to the terminal benzene rings."
